FID_Baklaw,OBJECTID,PARCELKEY,PARCELNO,DISTRICT,VDC,WARDNO,GRIDS1,PARCELTY,Shape_Leng,Shape_Area,ParcelNote,PARCELLU,UID,FID_Landus,Area,Class,Zonetype,Remarks,ZoneNo,Maxm_Area
76,82,07000000000301916008607,3019,16,86,7.0,70000000.0,0,148.621980199,1407.05319487,,0,B763019070000000,28,106104.198737,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,1404.54306321
77,83,07000000099998116008607,999981,16,86,7.0,70000000.0,0,301.942292023,3769.7555875,,0,B77999981070000000,28,106104.198737,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,3763.03429748
78,84,07000000000003516008607,35,16,86,7.0,70000000.0,0,343.495203508,4663.25499934,,0,B7835070000000,204,12592.3335999,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,3.19284903422
79,85,07000000000003616008607,36,16,86,7.0,70000000.0,0,212.454830265,1390.93125991,,0,B7936070000000,204,12592.3335999,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,70.3192430293
80,86,07000000000003316008607,33,16,86,7.0,70000000.0,0,229.181935237,1615.95054608,,0,B8033070000000,28,106104.198737,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,1313.45695162
81,87,07000000000003416008607,34,16,86,7.0,70000000.0,0,232.767167403,1527.96599111,,0,B8134070000000,28,106104.198737,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,1035.36526799
82,88,07000000099998016008607,999980,16,86,7.0,70000000.0,0,153.538218108,1450.68289106,,0,B82999980070000000,1259,66623.5609448,Residential Zone,Residential Zone,Residential,ZoneNo 2,1448.10132309
8,11,07000000000302716008607,3027,16,86,7.0,70000000.0,0,66.9091763089,205.192874216,,0,B83027070000000,376,84127.5698421,Commercial Zone,Commercial Zone,Commercial,ZoneNo 3,56.6536735458
83,89,07000000000003716008607,37,16,86,7.0,70000000.0,0,200.882493816,1311.39041257,,0,B8337070000000,204,12592.3335999,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,123.039108623
84,91,07000000099997816008607,3106,16,86,7.0,70000000.0,0,60.1650830158,199.486742646,,0,B843106070000000,1259,66623.5609448,Residential Zone,Residential Zone,Residential,ZoneNo 2,199.131758227
85,93,07000000099997616008607,999976,16,86,7.0,70000000.0,0,98.8242221905,444.037301008,,0,B85999976070000000,1259,66623.5609448,Residential Zone,Residential Zone,Residential,ZoneNo 2,443.246230504
86,95,07000000099997416008607,999974,16,86,7.0,70000000.0,0,129.185177802,969.043309247,,0,B86999974070000000,204,12592.3335999,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,549.296198611
87,96,07000000000301716008607,3017,16,86,7.0,70000000.0,0,144.313401306,1009.16307443,,0,B873017070000000,28,106104.198737,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,1007.36498478
88,97,07000000000301816008607,3018,16,86,7.0,70000000.0,0,211.45961925,2196.70128698,,0,B883018070000000,28,106104.198737,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,2192.78692344
